"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-10-17","11,062.53","10,967.25","11,090.87","10,959.75","293.32M","3.46%"
"2022-10-14","10,692.06","11,130.08","11,152.89","10,677.48","299.49M","-3.10%"
"2022-10-13","11,033.58","10,481.58","11,087.66","10,440.64","355.13M","2.30%"
"2022-10-12","10,785.61","10,810.30","10,886.49","10,754.85","234.88M","-0.05%"
"2022-10-11","10,791.35","10,865.32","10,981.91","10,716.33","285.80M","-1.24%"
"2022-10-10","10,926.97","11,048.51","11,063.21","10,824.25","247.71M","-1.02%"
"2022-10-7","11,039.47","11,272.46","11,293.65","10,991.66","325.37M","-3.88%"
"2022-10-6","11,485.50","11,556.40","11,660.55","11,472.83","224.26M","-0.76%"
"2022-10-5","11,573.18","11,429.47","11,647.62","11,312.52","220.46M","-0.08%"
"2022-10-4","11,582.54","11,477.85","11,609.25","11,462.37","282.89M","3.14%"
"2022-10-3","11,229.73","11,059.17","11,296.43","10,985.01","291.05M","2.36%"
"2022-9-30","10,971.22","11,123.11","11,296.16","10,966.95","332.57M","-1.73%"
"2022-9-29","11,164.78","11,334.57","11,339.91","11,038.94","286.17M","-2.86%"
"2022-9-28","11,493.83","11,258.74","11,546.87","11,210.81","286.31M","1.97%"
"2022-9-27","11,271.75","11,411.34","11,502.38","11,175.29","251.06M","0.16%"
"2022-9-26","11,254.11","11,283.14","11,473.36","11,235.74","258.79M","-0.51%"
"2022-9-23","11,311.24","11,398.75","11,402.41","11,169.66","275.27M","-1.66%"
"2022-9-22","11,501.65","11,574.32","11,617.99","11,448.86","254.51M","-1.17%"
"2022-9-21","11,637.79","11,892.72","12,062.52","11,636.25","263.45M","-1.80%"
"2022-9-20","11,851.54","11,855.83","11,951.13","11,761.69","223.97M","-0.85%"
"2022-9-19","11,953.27","11,753.60","11,956.79","11,752.43","231.53M","0.77%"
"2022-9-16","11,861.38","11,775.93","11,875.09","11,710.25","728.59M","-0.55%"
"2022-9-15","11,927.49","12,034.43","12,153.34","11,867.88","282.27M","-1.71%"
"2022-9-14","12,134.40","12,092.03","12,170.25","12,016.43","273.28M","0.84%"
"2022-9-13","12,033.62","12,364.83","12,420.01","12,004.42","361.85M","-5.54%"
"2022-9-12","12,739.72","12,649.23","12,752.83","12,639.76","226.04M","1.20%"
"2022-9-9","12,588.29","12,424.15","12,610.43","12,424.15","228.58M","2.17%"
"2022-9-8","12,321.19","12,139.57","12,374.13","12,120.26","231.14M","0.50%"
"2022-9-7","12,259.39","12,038.18","12,298.12","12,026.98","237.42M","2.07%"
"2022-9-6","12,011.31","12,106.57","12,152.42","11,928.81","244.57M","-0.72%"
"2022-9-2","12,098.44","12,392.45","12,451.28","12,035.53","249.11M","-1.44%"
"2022-9-1","12,274.62","12,158.88","12,290.33","12,012.98","277.40M","0.02%"
"2022-8-31","12,272.03","12,448.07","12,502.15","12,268.08","315.42M","-0.57%"
"2022-8-30","12,342.70","12,562.40","12,572.88","12,240.82","232.45M","-1.13%"
"2022-8-29","12,484.32","12,488.46","12,594.34","12,440.40","219.65M","-0.96%"
"2022-8-26","12,605.17","13,129.91","13,175.25","12,603.41","308.68M","-4.10%"
"2022-8-25","13,143.58","12,984.74","13,146.84","12,951.61","209.03M","1.75%"
"2022-8-24","12,917.86","12,876.23","12,995.14","12,843.58","179.36M","0.28%"
"2022-8-23","12,881.79","12,885.28","13,000.71","12,852.70","179.39M","-0.07%"
"2022-8-22","12,890.54","13,056.39","13,073.07","12,859.82","222.57M","-2.66%"
"2022-8-19","13,242.90","13,370.25","13,402.61","13,210.82","248.83M","-1.95%"
"2022-8-18","13,505.99","13,474.24","13,553.28","13,405.74","189.70M","0.26%"
"2022-8-17","13,470.86","13,499.24","13,591.58","13,389.82","197.26M","-1.21%"
"2022-8-16","13,635.21","13,617.66","13,720.91","13,508.47","180.39M","-0.23%"
"2022-8-15","13,667.18","13,529.66","13,685.65","13,524.53","166.36M","0.75%"
"2022-8-12","13,565.87","13,384.65","13,565.87","13,341.65","209.25M","2.06%"
"2022-8-11","13,291.99","13,471.03","13,555.38","13,271.35","198.56M","-0.65%"
"2022-8-10","13,378.32","13,330.66","13,386.85","13,220.05","255.82M","2.85%"
"2022-8-9","13,008.17","13,064.24","13,095.70","12,945.60","214.96M","-1.15%"
"2022-8-8","13,159.16","13,227.09","13,394.53","13,103.80","202.55M","-0.37%"
"2022-8-5","13,207.69","13,107.45","13,286.02","13,070.36","215.10M","-0.78%"
"2022-8-4","13,311.04","13,253.77","13,326.72","13,170.44","221.80M","0.44%"
"2022-8-3","13,253.26","12,983.58","13,289.19","12,974.85","284.79M","2.73%"
"2022-8-2","12,901.60","12,853.04","13,073.27","12,809.01","215.11M","-0.30%"
"2022-8-1","12,940.78","12,877.04","13,084.61","12,833.16","226.46M","-0.06%"
"2022-7-29","12,947.98","12,784.20","12,986.64","12,726.25","340.16M","1.81%"
"2022-7-28","12,717.87","12,580.61","12,741.83","12,433.55","257.67M","0.92%"
"2022-7-27","12,601.47","12,299.34","12,660.77","12,256.93","304.74M","4.26%"
"2022-7-26","12,086.90","12,248.21","12,259.01","12,051.21","229.65M","-1.96%"
"2022-7-25","12,328.41","12,391.21","12,415.59","12,244.40","190.24M","-0.55%"
"2022-7-22","12,396.47","12,575.76","12,662.86","12,322.82","236.15M","-1.77%"
"2022-7-21","12,619.41","12,466.13","12,620.50","12,351.42","222.30M","1.44%"
"2022-7-20","12,439.68","12,269.07","12,488.39","12,232.20","239.69M","1.55%"
"2022-7-19","12,249.42","12,046.69","12,258.37","11,967.92","267.09M","3.13%"
"2022-7-18","11,877.50","12,089.68","12,156.09","11,836.52","231.20M","-0.89%"
"2022-7-15","11,983.62","11,896.15","11,987.52","11,828.13","264.00M","1.83%"
