"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-5-5","12,317.69","12,787.52","12,787.52","12,183.56","1.10B","-4.99%"
"2022-5-4","12,964.86","12,574.73","12,985.01","12,367.02","1.11B","3.19%"
"2022-5-3","12,563.76","12,511.46","12,645.83","12,460.99","897.83M","0.22%"
"2022-5-2","12,536.02","12,331.69","12,542.54","12,202.41","1.04B","1.63%"
"2022-4-29","12,334.64","12,710.42","12,861.83","12,315.74","1.09B","-4.17%"
"2022-4-28","12,871.53","12,712.86","12,948.52","12,487.86","1.01B","3.06%"
"2022-4-27","12,488.93","12,500.88","12,703.79","12,430.90","942.84M","-0.01%"
"2022-4-26","12,490.74","12,918.04","12,918.04","12,490.74","1.02B","-3.95%"
"2022-4-25","13,004.85","12,749.17","13,011.45","12,722.59","988.04M","1.29%"
"2022-4-22","12,839.29","13,168.80","13,212.61","12,828.02","950.70M","-2.55%"
"2022-4-21","13,174.65","13,623.70","13,710.70","13,140.83","993.83M","-2.07%"
"2022-4-20","13,453.07","13,665.38","13,678.55","13,426.13","871.26M","-1.22%"
"2022-4-19","13,619.66","13,312.44","13,643.97","13,281.22","855.29M","2.15%"
"2022-4-18","13,332.36","13,319.39","13,414.27","13,222.03","832.41M","-0.14%"
"2022-4-14","13,351.08","13,647.42","13,662.93","13,345.22","927.38M","-2.14%"
"2022-4-13","13,643.59","13,373.12","13,679.43","13,353.66","910.79M","2.03%"
"2022-4-12","13,371.57","13,584.69","13,685.95","13,317.74","902.42M","-0.30%"
"2022-4-11","13,411.96","13,547.29","13,585.08","13,401.39","991.30M","-2.18%"
"2022-4-8","13,711.00","13,830.47","13,866.06","13,693.69","858.45M","-1.34%"
"2022-4-7","13,897.30","13,861.49","13,978.25","13,689.23","931.35M","0.06%"
"2022-4-6","13,888.82","14,002.58","14,032.84","13,788.90","1.09B","-2.22%"
"2022-4-5","14,204.17","14,490.26","14,500.29","14,169.12","930.40M","-2.26%"
"2022-4-4","14,532.55","14,304.35","14,534.38","14,286.45","915.41M","1.90%"
"2022-4-1","14,261.50","14,269.53","14,306.94","14,131.81","1.02B","0.29%"
"2022-3-31","14,220.52","14,444.78","14,456.74","14,217.72","1.10B","-1.54%"
"2022-3-30","14,442.28","14,558.59","14,609.25","14,383.45","1.01B","-1.21%"
"2022-3-29","14,619.64","14,500.39","14,646.90","14,419.40","1.09B","1.84%"
"2022-3-28","14,354.90","14,177.21","14,356.00","14,101.34","892.94M","1.31%"
"2022-3-25","14,169.30","14,194.72","14,218.76","14,010.79","941.78M","-0.16%"
"2022-3-24","14,191.84","14,001.32","14,193.55","13,897.20","916.74M","1.93%"
